Qunatidade Participantes;ID_PESQUISA;Duration..in.seconds.;RecordedDate;UserLanguage;Dem_age;Dem_gender;Dem_edu;Dem_edu_mom;Dem_employment;Country;Dem_Expat;Dem_state;Dem_maritalstatus;Dem_dependents;Dem_riskgroup;Dem_islolation;Dem_isolation_adults;Dem_isolation_kids;Comentarios
294;28287;564;10/04/2020 08:15;PT-BR;34;Female;College degree, bachelor, master;College degree;Self-employed;Brazil;no;SC;Married/cohabiting;1;Yes;Isolated;1;1;NA
295;28299;1664;10/04/2020 08:26;PT-BR;56;Female;College degree, bachelor, master;Up to 9 years of school;Self-employed;Brazil;no;SC;Married/cohabiting;2;Yes;Isolated;3;0;NA
296;28301;590;10/04/2020 08:08;PT-BR;36;Male;PhD/Doctorate;College degree;Full time employed;Brazil;yes;Santa Catarina;Married/cohabiting;3;No;Isolated;1;2;pesquisa mto demorada, no fim ninguém consegue ler mais
297;28306;1494;10/04/2020 08:20;PT-BR;25;Male;Some College, short continuing education or equivalent;Up to 6 years of school;Full time employed;Brazil;no;Santa Catarina;Married/cohabiting;1;Yes;Life carries on with minor changes;3;0;NA
298;28320;3106;11/04/2020 08:40;PT-BR;41;Male;Some College, short continuing education or equivalent;Up to 9 years of school;Full time employed;Brazil;no;Santa catarina;Single;1;Yes;Life carries on with minor changes;0;0;NA
299;28330;782;10/04/2020 07:53;PT-BR;21;Female;Some College, short continuing education or equivalent;Up to 9 years of school;Not employed;Brazil;no;SC;Single;2;Yes;Isolated;5;2;NA
300;28343;39027;10/04/2020 18:25;PT-BR;40;Female;College degree, bachelor, master;College degree;Self-employed;Brazil;no;Santa Catarina;Single;0;Yes;Isolated;3;0;A insegurança e desconhecimento sobre a proporção do impacto do covid-19 no contexto econômico mundial. O correto agora é fazer o isolamento e conter a expansão da pandemia, mas profissionalmente me vejo fragilizada, com muita probabilidade de diminuição de receita e relativamente impotente para antecipar qualquer problema desse tipo.
301;28345;1214;10/04/2020 07:54;PT-BR;40;Female;College degree, bachelor, master;Up to 12 years of school;Self-employed;Brazil;no;SC;Married/cohabiting;2;Yes;Life carries on as usual;2;0;NA
302;28361;2371;10/04/2020 08:03;PT-BR;27;Male;Some College, short continuing education or equivalent;Up to 12 years of school;Full time employed;Brazil;no;Santa Catarina;Married/cohabiting;0;Yes;Life carries on with minor changes;1;0;O que mais nos ameaça é a divisão de pensamentos, os empresários só estão se preocupando com eles e sua empresa, não dão devida segurança aos funcionários e clientes, a população em geral, aqui em Joinville SC, estão acreditando que é apenas uma gripe e que se trata de uma disputa política. Assim, fico mais preocupado porque enquanto eu estou tomando medidas de segurança recomendadas, tem pessoas no meu ambiente de trabalho e cidade que não dão a devida importância para as recomendações de saúde, colocando a mim e aos outros em perigo. Sendo assim, sou obrigado a trabalhar para manter minha família e me submeto com muito custo à riscos no meu ambiente de trabalho, aos estabelecimentos de mercearia e farmácias. As pessoas não estão usando máscaras.
303;28371;1256;10/04/2020 07:40;PT-BR;34;Male;College degree, bachelor, master;College degree;Part time employed;Brazil;no;Santa Catarina;Single;1;Yes;Isolated;1;0;NA
304;28375;883;10/04/2020 07:32;PT-BR;25;Female;Some College, short continuing education or equivalent;Up to 6 years of school;Full time employed;Brazil;no;SC;Single;1;Yes;Isolated;1;0;NA
305;28377;939;10/04/2020 07:33;PT-BR;24;Female;Some College, short continuing education or equivalent;NA;Part time employed;Brazil;no;Santa Catarina;Single;0;Yes;Life carries on with minor changes;3;0;Foi a crueldade que fizeram na quarta- feira do 08/04, em um moço que estava passando na rua e baterem nele. Esse moço é visitinha da minha vó e não incomoda ninguém na sua vive no seu canto e só brinca com as pessoa que conhece e pronto.
306;28378;987;10/04/2020 07:34;PT-BR;22;Female;Some College, short continuing education or equivalent;College degree;Student;Brazil;no;Santa Catarina;Single;0;Yes;Life carries on with minor changes;3;0;NA
307;28380;260;11/04/2020 07:21;PT-BR;18;Female;Some College, short continuing education or equivalent;Up to 12 years of school;Full time employed;Brazil;no;Santa Catarina;Single;0;Yes;Life carries on with minor changes;2;1;NA
308;28382;1176;10/04/2020 07:34;PT-BR;27;Male;College degree, bachelor, master;Up to 12 years of school;Full time employed;Brazil;no;Santa Catarina;Married/cohabiting;1;Yes;Life carries on with minor changes;1;0;NA
309;28390;1173;10/04/2020 07:33;PT-BR;26;Female;Some College, short continuing education or equivalent;Up to 12 years of school;Student;Brazil;no;Santa Catarina;Married/cohabiting;0;Yes;Isolated;1;0;Uma das coisas que mais me afeta é a polaridade do momento. Há fortes divergências de opinião e isso me afeta em alguns contextos.
310;28402;2468;10/04/2020 07:48;PT-BR;29;Female;PhD/Doctorate;Up to 12 years of school;Full time employed;Brazil;no;NA;Married/cohabiting;0;Yes;Isolated;1;NA;Retratou mais ainda a desigualdade social do nosso país, principalmente no que diz respeito a educação. Ainda, a ciência está sendo mais valorizada!  
311;28470;791;10/04/2020 07:05;PT-BR;30;Female;College degree, bachelor, master;Up to 12 years of school;Student;Brazil;no;Santa Catarina;Single;0;Yes;Isolated;0;0;NA
312;28475;1077;10/04/2020 07:07;PT-BR;39;Female;PhD/Doctorate;College degree;Self-employed;Brazil;no;RIO GRANDE DO SUL;Single;0;Yes;Life carries on with minor changes;4;0;NA
313;28502;2315;11/04/2020 07:22;PT-BR;55;Female;College degree, bachelor, master;Up to 9 years of school;Student;Brazil;no;Santa Catarina;Single;0;No;Isolated;0;0;a falta de educacao e entebdi.ento sa populacao em geral, e principalnente a fakta de respeito com as autoridades, governo, manipulacao politica, fake news, se aproveitar da situacao para se autobeneficiar
314;28670;1342;10/04/2020 05:33;PT-BR;66;Male;PhD/Doctorate;Up to 12 years of school;Retired;Brazil;no;Santa Catarina;Married/cohabiting;0;Yes;Isolated;1;0;NA
315;28698;1039;10/04/2020 05:31;PT-BR;54;Female;PhD/Doctorate;College degree;Full time employed;Brazil;no;RS;Married/cohabiting;2;Yes;Isolated;3;0;NA
316;29629;867;09/04/2020 20:42;PT-BR;57;Male;PhD/Doctorate;Up to 12 years of school;Full time employed;Brazil;no;Santa Catarina;Married/cohabiting;1;Yes;Life carries on as usual;2;0;NA
317;29673;895;09/04/2020 18:24;PT-BR;22;Male;Up to 12 years of school;College degree;Self-employed;Brazil;no;São Paulo;Single;0;Not sure;Life carries on with minor changes;3;0;NA
318;29714;4525;10/04/2020 18:17;PT-BR;22;Male;Some College, short continuing education or equivalent;Up to 12 years of school;Student;Brazil;no;Rio Grande do Sul;Single;1;Yes;Isolated;1;0;NA
319;30036;1180;10/04/2020 13:55;PT-BR;35;Male;College degree, bachelor, master;Some College or equivalent;Full time employed;Brazil;no;RJ;Single;0;Yes;Isolated;1;0;NA
320;30127;743;10/04/2020 13:10;PT-BR;38;Female;College degree, bachelor, master;College degree;Full time employed;Brazil;no;RJ;Single;1;Yes;Life carries on with minor changes;5;0;NA
321;30231;6038;10/04/2020 14:00;PT-BR;32;Male;Some College, short continuing education or equivalent;College degree;Full time employed;Brazil;no;RJ;Single;0;Yes;Isolated;1;0;NA
322;30243;373;10/04/2020 12:21;PT-BR;35;Male;College degree, bachelor, master;PhD/Doctorate;Full time employed;Brazil;no;Rio de Janeiro;Married/cohabiting;1;Yes;Isolated;3;1;NA
323;30338;1038;09/04/2020 11:52;PT-BR;31;Female;College degree, bachelor, master;College degree;Student;Brazil;no;Rio de janeiro;Single;0;Yes;Isolated;2;0;NA
324;30366;572;10/04/2020 11:30;PT-BR;21;Male;Some College, short continuing education or equivalent;Up to 12 years of school;Part time employed;Brazil;no;Rio de Janeiro;Single;0;No;Life carries on with minor changes;1;0;NA
325;30370;162;10/04/2020 11:22;PT-BR;30;Male;Some College, short continuing education or equivalent;College degree;Full time employed;Brazil;no;RJ;Single;0;Yes;Isolated;1;0;NA
326;30371;5945;09/04/2020 12:57;PT-BR;57;Female;College degree, bachelor, master;Up to 6 years of school;Full time employed;Brazil;no;São Paulo;Divorced/widowed;0;Yes;Isolated;0;0;NA
327;30373;993;09/04/2020 11:34;PT-BR;26;Female;College degree, bachelor, master;Up to 12 years of school;Full time employed;Brazil;no;RJ;Single;1;Yes;Isolated;1;0;NA
328;30380;14742;09/04/2020 15:19;PT-BR;27;Female;College degree, bachelor, master;College degree;Full time employed;Brazil;no;Rio de Janeiro;Single;0;Yes;Isolated;1;0;NA
329;30386;5144;09/04/2020 12:36;PT-BR;35;Female;College degree, bachelor, master;Some College or equivalent;Full time employed;Brazil;yes;rio de janeiro;Married/cohabiting;0;No;Isolated;1;0;NA
330;30390;726;09/04/2020 11:21;PT-BR;23;Female;Some College, short continuing education or equivalent;College degree;Retired;Brazil;no;Rio de Janeiro;Single;0;Yes;Isolated;2;0;NA
331;30392;271;10/04/2020 11:13;PT-BR;25;Male;Some College, short continuing education or equivalent;Up to 12 years of school;Full time employed;Brazil;no;Minas Gerais;Single;0;Yes;Isolated;4;0;NA
332;30393;733;09/04/2020 11:20;PT-BR;23;Female;College degree, bachelor, master;Some College or equivalent;Full time employed;Brazil;no;Rio Grande do Sul;Single;0;Yes;Isolated;2;0;NA
333;31152;101;10/04/2020 05:17;PT-BR;23;Female;Some College, short continuing education or equivalent;College degree;Student;Brazil;no;Rio de Janeiro;Single;0;Yes;Isolated;2;0;NA
334;32253;1627;08/04/2020 20:23;PT-BR;23;Male;College degree, bachelor, master;Up to 6 years of school;Part time employed;Brazil;no;Minas Gerais;Married/cohabiting;1;Yes;Life carries on with minor changes;1;0;NA
335;32278;3838;08/04/2020 19:59;PT-BR;53;Female;College degree, bachelor, master;Some College or equivalent;Full time employed;Brazil;no;São paulo;Single;1;Yes;Isolated;NA;NA;O momento de crise expôs minhas fragilidades mas também qualidades. Pensar positivo e na coletividade é fundamental.
336;32326;1357;09/04/2020 18:01;PT-BR;50;Female;College degree, bachelor, master;College degree;Self-employed;Brazil;no;São Paulo;Single;0;Yes;Isolated;3;0;NA
337;32594;72919;09/04/2020 11:17;PT-BR;23;Male;Some College, short continuing education or equivalent;PhD/Doctorate;Part time employed;Brazil;no;RJ;Single;0;Yes;Isolated;3;0;a vida sexual e social sao as mais afetadas de fato. e tbm meu hobby predileto que é jogar futebol, sinto MUITA falta.
338;33148;428;09/04/2020 13:06;PT-BR;49;Male;Some College, short continuing education or equivalent;Up to 12 years of school;Full time employed;Brazil;no;São Paulo;Single;0;Yes;Life carries on with minor changes;0;0;NA
339;36754;1419;07/04/2020 16:26;PT-BR;24;Female;Some College, short continuing education or equivalent;Up to 12 years of school;Student;Brazil;no;RJ;Single;0;Yes;Isolated;3;0;NA
340;36818;1607;07/04/2020 16:05;EN;45;Female;College degree, bachelor, master;Up to 6 years of school;Self-employed;Brazil;no;Rio Grande do Norte;Married/cohabiting;0;Yes;Isolated;1;0;You should reformulate some questions about Brazil. Bolsonaro, who is the president, has been saying/doing crazy things about the coronavirus (he is against social distance, he thinks COVID-19 is a simple flu, etc.), but the Ministery of Healthy has been acting seriously about it. So, when you ask about the government actions, we Brazilians could have two different questions (one about Bolsonaro and the other one about the Ministery of Healthy). I answered these questions mixing both actions. Because I think what Bolsonaro does has a (negative) influence on MS actions.
341;37037;177;08/04/2020 14:48;EN;44;Female;College degree, bachelor, master;College degree;Self-employed;Brazil;no;São Paulo - SP;Single;0;Yes;Life carries on with minor changes;2;0;NA
342;39770;927;07/04/2020 04:25;PT;41;Male;College degree, bachelor, master;College degree;Full time employed;Brazil;no;Rio de Janeiro;Single;0;Yes;Isolated;2;0;NA
343;41978;752;06/04/2020 20:02;PT-BR;39;Female;College degree, bachelor, master;College degree;Full time employed;Brazil;no;Rj;Married/cohabiting;0;Yes;Isolated;1;0;NA
344;43065;1079;06/04/2020 16:17;PT-BR;32;Male;College degree, bachelor, master;College degree;Full time employed;Brazil;no;São Paulo;Married/cohabiting;0;No;Isolated;1;0;NA
345;43124;869;06/04/2020 15:55;PT-BR;23;Male;Some College, short continuing education or equivalent;College degree;Student;Brazil;no;Rio de Janeiro;Single;0;Yes;Isolated;1;0;NA
346;43382;1320;06/04/2020 15:01;PT-BR;57;Female;College degree, bachelor, master;College degree;Not employed;Brazil;no;Rio de Janeiro;Married/cohabiting;2;Yes;Isolated;3;0;NA
347;43432;241;07/04/2020 14:32;PT-BR;29;Female;Some College, short continuing education or equivalent;College degree;Student;Brazil;no;Rio de Janeiro;Single;0;Yes;Life carries on with minor changes;3;0;NA
348;43518;613;06/04/2020 14:18;PT-BR;37;Female;College degree, bachelor, master;College degree;Full time employed;Brazil;no;NA;Married/cohabiting;2;Yes;Isolated;7;2;NA
349;43610;1647;07/04/2020 14:14;PT-BR;52;Female;Up to 12 years of school;Up to 9 years of school;Self-employed;Brazil;no;Rio de Janeiro;Divorced/widowed;2;Yes;Isolated;1;1;NA
350;43790;1023;06/04/2020 13:18;DE;38;Female;College degree, bachelor, master;Up to 12 years of school;Part time employed;Brazil;no;Schleswig-Holstein;Single;0;Yes;Life carries on with minor changes;0;0;Es ist schön, dass ich zwar alleine lebe, aber nicht alleine bin, weil ich zwei Katzen habe. Ohne die beiden wär es wirklich fad und einsam.
351;43831;791;07/04/2020 13:04;PT-BR;37;Male;PhD/Doctorate;College degree;Full time employed;Brazil;no;MT;Married/cohabiting;3;Yes;Isolated;1;3;NA
352;43925;1862;06/04/2020 13:00;PT-BR;44;Female;College degree, bachelor, master;Up to 6 years of school;Not employed;Brazil;no;Rio de Janeiro;Married/cohabiting;3;Yes;Isolated;4;1;Minha rotina e fé mudaram muito.  Tenho sorte em.ter uma filosofia de vida que se chama budismo.
353;44144;894;07/04/2020 11:58;PT-BR;37;Female;College degree, bachelor, master;Up to 6 years of school;Full time employed;Brazil;no;Rio de Janeiro;Single;1;Yes;Isolated;0;0;NA
354;44249;1002;06/04/2020 11:34;PT-BR;34;Female;College degree, bachelor, master;College degree;Self-employed;Brazil;no;Rio de Janeiro;Married/cohabiting;1;Yes;Isolated;1;1;NA
355;44354;2048;06/04/2020 11:26;PT-BR;50;Male;Up to 12 years of school;Up to 6 years of school;Full time employed;Brazil;no;Rio de Janeiro;Married/cohabiting;1;Yes;Life carries on with minor changes;1;0;Ter que continuar trabalhando ainda que reduzidamente. Tabalho em vigilância epidemiológica  e com agravos crônicos. Ter que sair de casa, mesmo usando meu carro, concentrando todos os afazeres  para o mesmo dia  me causa muita insegurança, pois hj preciso esta perro de minha mãe  diariamente por cuidar dela, ten 86anos.
356;44556;1139;07/04/2020 10:28;PT-BR;41;Female;College degree, bachelor, master;College degree;Full time employed;Brazil;no;Rio De Janeiro;Divorced/widowed;1;Yes;NA;1;0;NA
357;44609;215;07/04/2020 09:58;PT-BR;53;Female;College degree, bachelor, master;Up to 12 years of school;Self-employed;Brazil;no;Rio de Janeiro;Married/cohabiting;0;Yes;Life carries on with minor changes;1;0;NA
358;44623;684;07/04/2020 10:02;PT-BR;63;Female;PhD/Doctorate;Up to 12 years of school;Full time employed;Brazil;no;São Paulo;Single;2;Yes;Isolated;2;0;NA
359;44707;824;07/04/2020 09:42;PT-BR;32;Male;College degree, bachelor, master;College degree;Self-employed;Brazil;no;São Paulo;Married/cohabiting;0;Yes;Isolated;1;0;NA
360;44787;18378;06/04/2020 14:10;PT-BR;43;Male;College degree, bachelor, master;Some College or equivalent;Not employed;Brazil;no;Minas Gerais;Married/cohabiting;3;Yes;Isolated;1;2;NA
361;44799;265;07/04/2020 09:07;PT-BR;44;Female;Some College, short continuing education or equivalent;Up to 12 years of school;Full time employed;Brazil;no;Sao paulo;Divorced/widowed;1;Yes;Isolated;0;1;NA
362;44806;849;07/04/2020 09:15;PT-BR;61;Female;College degree, bachelor, master;Up to 12 years of school;Self-employed;Brazil;no;Rio de Janeiro;Married/cohabiting;2;Yes;Isolated;3;NA;NA
363;44854;917;06/04/2020 09:05;PT-BR;35;Male;College degree, bachelor, master;College degree;Self-employed;Brazil;no;Rio de Janeiro;Other or would rather not say;1;Yes;Life carries on with minor changes;1;1;NA
364;44855;389;07/04/2020 08:56;PT-BR;56;NA;College degree, bachelor, master;College degree;Self-employed;Brazil;NA;Rio de janeiro;Married/cohabiting;2;NA;Isolated;1;2;NA
365;44862;922;07/04/2020 09:04;PT-BR;27;Female;College degree, bachelor, master;College degree;Part time employed;Brazil;no;Paraná;Single;0;Yes;Life carries on with minor changes;4;0;NA
366;44864;3460;06/04/2020 09:46;PT-BR;37;Female;PhD/Doctorate;Up to 12 years of school;Full time employed;Brazil;no;Minas Gerais;Married/cohabiting;3;Yes;Isolated;1;2;medo de ficar sem emprego e sem comida
367;44897;4446;07/04/2020 09:54;PT-BR;77;Female;Some College, short continuing education or equivalent;Some College or equivalent;Not employed;Brazil;no;RJ;Divorced/widowed;3;Yes;Life carries on with minor changes;4;0;"Não  confio na ""história"" de como surgiu no mundo,o virus covid19.Muito estranho, e mais ainda, a oferta da China Comunista, com soluções  e outras oferta  na mesma época... MERECE INSTIGAÇÃO  SÉRIA. A POLÍTICA  COMUNISTA  É  MENTIROSA  E PERIGOSA...E parece estar"" tomando conta do MUNDO"". Não  sei se é verdadeiro:  "" fake news"" me parece manipulação  política.  No  Brasil, correm notícias  de que  a China Comunista  está  ""tomando"" ,""comprando ""  firmas de importância  para a população,   aliás,  há  anos, no governo PT , houve um avanço  significativo de invasão  "" chineza""( objetos descartáveis). A Comunidade Internacional  sabe,  muito bem, tudo do que estou me referindo...e muito mais..."
368;44898;741;06/04/2020 08:52;PT-BR;38;Male;College degree, bachelor, master;College degree;Full time employed;Brazil;yes;NA;Single;0;Yes;Life carries on with minor changes;1;0;NA
369;44934;1457;07/04/2020 08:54;PT-BR;24;Male;Some College, short continuing education or equivalent;Up to 12 years of school;Student;Brazil;no;Rio de Janeiro;Single;0;Yes;Life carries on with minor changes;2;NA;NA
370;44965;886;07/04/2020 08:39;PT-BR;49;Female;College degree, bachelor, master;College degree;Self-employed;Brazil;no;RS;Single;0;Yes;Isolated;0;0;NA
371;44977;1404;06/04/2020 08:44;PT-BR;51;Male;College degree, bachelor, master;College degree;Full time employed;Brazil;no;RJ;Married/cohabiting;3;Yes;Isolated;2;1;NA
372;45021;1085;06/04/2020 08:28;PT-BR;49;Female;College degree, bachelor, master;Some College or equivalent;Self-employed;Brazil;no;Rio de Janeiro;Married/cohabiting;2;Yes;Isolated;4;1;A sensação de que ninguém tem certeza de nada. Especificamente no Brasil, a irresponsabilidade e falta de lucidez do atual Presidente.
373;45117;1127;07/04/2020 08:03;PT-BR;36;Female;College degree, bachelor, master;Up to 12 years of school;Self-employed;Brazil;no;Rio de janeiro;Single;0;Yes;Isolated;1;0;Relações sexuais, mudou completamente desde o covid, preliminares são formas de contágio (beijo) tem um impacto direto na minha vida.
374;45439;1667;06/04/2020 07:01;PT-BR;28;Female;Up to 12 years of school;College degree;Part time employed;Brazil;no;São Paulo;Married/cohabiting;3;Yes;Life carries on with minor changes;2;1;O que tem me deixado bastante tensa é a questão financeira, não só minha, mas dos meus familiares, amigos, e colegas. Não somos na maioria pessoas com uma posição financeira favorável, que nos mantenha bem, isolados por muito tempo e isso tem me preocupado.  Muitos já perderam seus empregos, já não tem mais de onde tirar o sustento pra si e pros demais, e aí, o que vão fazer? É triste!
375;45464;1054;06/04/2020 06:46;PT-BR;37;Male;Some College, short continuing education or equivalent;PhD/Doctorate;Full time employed;Brazil;no;São Paulo;Married/cohabiting;4;No;Isolated;2;1;NA
376;45469;1036;06/04/2020 06:44;PT-BR;59;Male;College degree, bachelor, master;Some College or equivalent;Part time employed;Brazil;no;Rio de Janeiro;Married/cohabiting;0;Yes;Isolated;2;0;NA
377;45641;1827;06/04/2020 06:25;PT-BR;41;Female;Some College, short continuing education or equivalent;Up to 12 years of school;Self-employed;Brazil;no;São Paulo;Married/cohabiting;2;Yes;Isolated;1;1;NA
378;45677;821;07/04/2020 06:02;PT-BR;21;Male;Some College, short continuing education or equivalent;College degree;Not employed;Brazil;no;Rio de janeiro;Single;0;Yes;Life carries on with minor changes;2;0;NA
379;45740;874;06/04/2020 05:46;PT-BR;40;Female;PhD/Doctorate;Up to 12 years of school;Full time employed;Brazil;no;Rio de Janeiro;Divorced/widowed;0;Yes;Life carries on with minor changes;1;0;Tanto a imprudência quanto a covardia são vícios. A virtude da coragem está no meio, como diria Aristóteles. Há que se tomar o cuidado devido| mas sem ansiedade ou pânico. A morte, nossa e de quem amamos faz parte da vida e está, na maioria das vezes, fora do alcance do nosso controle. Ninguém controla a vida, no máximo gerenciamos.
380;45773;1184;06/04/2020 05:44;PT;64;Female;PhD/Doctorate;Up to 12 years of school;Full time employed;Brazil;no;Nordeste;Married/cohabiting;0;Yes;Isolated;3;0;NA
381;45804;14431;07/04/2020 09:17;PT-BR;52;Female;College degree, bachelor, master;Up to 6 years of school;Full time employed;Brazil;no;Rio de janeiro;Single;1;Yes;Isolated;0;0;NA
382;45914;1738;07/04/2020 05:20;PT-BR;46;Male;Up to 12 years of school;None;Self-employed;Brazil;no;Rio de Janeiro;Single;0;No;Isolated;0;0;Pessoas no meu bairro ainda não leva o caos a sério.  Continuam como estivéssemos numa vida normal. Isso me incomoda muito,  Porém tento orienta los..
383;46254;967;06/04/2020 04:05;PT-BR;43;Female;College degree, bachelor, master;Up to 12 years of school;Full time employed;Brazil;no;Rio de Janeiro;Married/cohabiting;2;Yes;Isolated;2;2;NA
384;46886;1100;06/04/2020 01:46;PT-BR;50;Female;College degree, bachelor, master;None;Full time employed;Brazil;no;Sao Paulo;Divorced/widowed;0;Yes;Isolated;1;0;NA
385;46977;1200;06/04/2020 01:27;PT-BR;43;Female;College degree, bachelor, master;College degree;Self-employed;Brazil;no;Rio de Janeiro;Married/cohabiting;2;Yes;Isolated;1;1;NA
386;47750;2606;05/04/2020 22:37;PT-BR;49;Female;Up to 12 years of school;Up to 6 years of school;Full time employed;Brazil;no;Rio Grande do Sul;Divorced/widowed;3;Yes;Life carries on with minor changes;1;1;Meu presidente dizendo que tinhamos que sair que éra só uma gripezinha. E Ter que trabalhar, sendo que meu trabalho não é essencial é contabil , mas o governo não prorrogou os prazos dos impostos  só os  Federais .
387;47759;1234;05/04/2020 22:12;PT-BR;58;Female;College degree, bachelor, master;Up to 6 years of school;Part time employed;Brazil;no;São Paulo;Married/cohabiting;0;Yes;Life carries on with minor changes;2;0;NA
388;47770;4040;05/04/2020 22:55;PT-BR;57;Female;College degree, bachelor, master;None;Not employed;Brazil;no;Tocantins;Divorced/widowed;1;Yes;Isolated;1;0;Estou desempregada e sem poder sair para trabalhar
389;47837;2705;05/04/2020 22:10;PT-BR;68;Female;Some College, short continuing education or equivalent;Up to 12 years of school;Retired;Brazil;no;Rio de Janeiro;Divorced/widowed;0;Yes;Isolated;0;0;Acho que a união dos governantes de todos os países para o bem estar da humanidade seria o mais importante, um conjunto de medidas verdadeiras e sem vaidades. E respeito a todos os países que necessitam de insumos produtos equipamentos para cura deveriam ser respeitados...Todos tem direito a ser curado e tratados  e não os países mais ricos somente. A direito a vida é para todos: Ricos ou Pobres.
390;47902;1950;06/04/2020 21:33;PT-BR;44;Female;Some College, short continuing education or equivalent;Up to 9 years of school;Self-employed;Brazil;no;Sao paulo;Married/cohabiting;3;Yes;Isolated;3;0;Os comentários com posicionamentos divergentes entre o presidente do Brasil e o seu ministro da saúde e divergentes também com as orientações da OMS. Para mim a OMS e o médico que é a pessoa habilitada em saúde deviam ser a única opinião exposta ao público.  Os outros não deveriam expor opiniões contrárias a deles que são os especialistas.  Isso faz confusão na mente e no agir das pessoas.
391;47964;1110;06/04/2020 20:57;PT-BR;41;Female;College degree, bachelor, master;Up to 12 years of school;Full time employed;Brazil;no;Bahia;Married/cohabiting;0;Yes;Isolated;1;0;NA
392;47965;1780;05/04/2020 21:08;PT-BR;58;Female;PhD/Doctorate;Some College or equivalent;Retired;Brazil;no;Rio de janeiro;Single;3;Yes;Isolated;3;0;NA
393;48028;571;06/04/2020 20:22;PT-BR;26;Male;College degree, bachelor, master;Up to 12 years of school;Full time employed;Brazil;no;Paraná;Single;0;Yes;Isolated;3;0;NA
394;48116;1274;05/04/2020 19:51;PT-BR;59;Female;College degree, bachelor, master;Some College or equivalent;Self-employed;Brazil;no;Rio de Janeiro;Single;3;Yes;Life carries on with minor changes;3;0;NA
395;48169;1032;06/04/2020 19:31;PT-BR;46;Female;College degree, bachelor, master;College degree;Full time employed;Brazil;no;Ceará;Divorced/widowed;2;No;Isolated;2;1;NA
396;48303;831;06/04/2020 18:40;PT-BR;35;Female;College degree, bachelor, master;College degree;Full time employed;Brazil;no;Paraná;Married/cohabiting;1;Yes;Isolated;1;1;NA
397;48332;665;05/04/2020 18:29;PT-BR;25;Female;Some College, short continuing education or equivalent;College degree;Student;Brazil;no;Rio de Janeiro;Single;0;Yes;Isolated;1;0;NA
398;48359;692;05/04/2020 18:23;PT-BR;44;Female;College degree, bachelor, master;Up to 12 years of school;Full time employed;Brazil;no;Rio de Janeiro;Married/cohabiting;1;Yes;Isolated;7;1;NA
399;48599;491;06/04/2020 17:14;PT-BR;60;Female;College degree, bachelor, master;Up to 9 years of school;Retired;Brazil;no;Rio de Janeiro;Married/cohabiting;2;Yes;Isolated;2;NA;NA
400;48611;2464;06/04/2020 17:45;PT-BR;40;Male;College degree, bachelor, master;Some College or equivalent;Self-employed;Brazil;no;Rio de Janeiro;Single;0;Yes;Life carries on with minor changes;1;0;NA
401;48674;832;05/04/2020 17:05;PT-BR;43;Female;College degree, bachelor, master;College degree;Self-employed;Brazil;no;RJ;Married/cohabiting;2;Yes;Isolated;2;2;NA
402;48736;3810;05/04/2020 17:42;PT-BR;54;Female;College degree, bachelor, master;College degree;Full time employed;Brazil;no;Paraná;Married/cohabiting;0;Yes;Life carries on with minor changes;1;0;Sinto-me angustiada, principalmente, por causa da desobediência civil e do governo brasileiro não priorizar a área da Ciência.
403;48799;1023;05/04/2020 16:44;PT-BR;45;Female;College degree, bachelor, master;Up to 12 years of school;Not employed;Brazil;yes;Rio de Janeiro;Married/cohabiting;2;Yes;Isolated;1;2;NA
404;48859;1247;05/04/2020 16:37;PT-BR;59;Female;Up to 12 years of school;Up to 9 years of school;Not employed;Brazil;no;RJ;Married/cohabiting;1;Yes;Life carries on with minor changes;3;NA;Incerteza sobre a economia mundial
405;48984;1020;06/04/2020 16:08;PT-BR;56;Female;Some College, short continuing education or equivalent;None;Full time employed;Brazil;no;Sao paulo;Married/cohabiting;1;Yes;Isolated;0;0;NA
406;48988;484;06/04/2020 15:58;PT-BR;25;Female;College degree, bachelor, master;Up to 12 years of school;Full time employed;Brazil;no;Minas gerais;Married/cohabiting;0;Yes;Life carries on with minor changes;4;0;NA
407;48997;1005;05/04/2020 16:04;PT-BR;28;Female;College degree, bachelor, master;College degree;Full time employed;Brazil;no;RJ;Single;0;Yes;Isolated;2;0;Tomei a decisão de me distanciar de algumas redes sociais e certos sites de notícias, pois estavam me afetando muito negativamente. Isso foi cerca de 1 semana depois do início do período crítico no meu país e após essa decisão o meu estado mental e capacidade de enfrentar a situaçao melhorou muito.
408;49013;627;06/04/2020 15:53;PT-BR;18;Male;Up to 12 years of school;Up to 12 years of school;Student;Brazil;no;Rio Grande do Sul;Single;0;Yes;Life carries on with minor changes;2;1;NA
409;49015;1139;05/04/2020 16:02;PT-BR;44;Female;College degree, bachelor, master;College degree;Full time employed;Brazil;no;Rio de Janeiro;Married/cohabiting;1;Yes;Isolated;1;1;NA
410;49129;1243;05/04/2020 15:32;PT-BR;28;Female;Up to 12 years of school;Up to 6 years of school;Part time employed;Brazil;no;Santa Catarina;Married/cohabiting;2;Yes;Isolated;1;2;Minha filha ser do grupo de risco me deixa com muito medo de ela ter uma crise e precisar ir ao hospital
411;49202;1213;05/04/2020 15:11;PT-BR;47;Female;College degree, bachelor, master;Up to 6 years of school;Full time employed;Brazil;no;Rio de Janeiro;Single;0;Yes;Isolated;0;0;NA
