Qunatidade Participantes;ID_PESQUISA;Duration..in.seconds.;RecordedDate;UserLanguage;Dem_age;Dem_gender;Dem_edu;Dem_edu_mom;Dem_employment;Country;Dem_Expat;Dem_state;Dem_maritalstatus;Dem_dependents;Dem_riskgroup;Dem_islolation;Dem_isolation_adults;Dem_isolation_kids;Comentarios
119;11163;1432;23/04/2020 08:44;PT-BR;46;Female;College degree, bachelor, master;Up to 12 years of school;Full time employed;Brazil;no;SP;Married/cohabiting;2;Yes;Isolated;1;1;A pressao de meus superiores em manter a rotina de trabalho rm casa.
120;11170;330;24/04/2020 08:11;PT-BR;43;Female;College degree, bachelor, master;Up to 9 years of school;Full time employed;Brazil;no;Sao Paulo;Married/cohabiting;2;Yes;Isolated;3;0;NA
121;11177;873;24/04/2020 08:08;PT-BR;39;Female;College degree, bachelor, master;Some College or equivalent;Full time employed;Brazil;no;São Paulo;Married/cohabiting;1;Yes;Isolated;1;0;NA
122;11237;16450;23/04/2020 11:22;PT-BR;25;Female;College degree, bachelor, master;Up to 6 years of school;Full time employed;Brazil;no;Santa Catarina;Other or would rather not say;0;Yes;Life carries on with minor changes;2;0;NA
123;11269;2476;23/04/2020 07:10;PT-BR;38;Female;College degree, bachelor, master;Up to 12 years of school;Full time employed;Brazil;no;São Paulo;Married/cohabiting;0;Yes;Isolated;1;0;O que sinto que impactou na minha segurança e bem-estar e dos meus familiares está sendo como a questão da Saúde demorou para se reorganizar em atendimentos extras covid 19, como consultas, exames, afetando a continuidade e/ou início de outros tratamentos.
124;11532;733;22/04/2020 16:26;PT-BR;21;Female;Some College, short continuing education or equivalent;College degree;Student;Brazil;no;Rj;Single;0;Yes;Life carries on with minor changes;3;0;NA
125;11569;344;23/04/2020 13:37;PT-BR;34;Female;PhD/Doctorate;College degree;Full time employed;Brazil;no;Rj;Married/cohabiting;1;Yes;Isolated;1;1;NA
126;11612;521;23/04/2020 11:17;PT-BR;24;Female;Up to 12 years of school;Up to 12 years of school;Self-employed;Brazil;no;RS;Married/cohabiting;0;Yes;Isolated;1;0;NA
127;11614;939;23/04/2020 11:16;PT-BR;31;Female;College degree, bachelor, master;Up to 9 years of school;Self-employed;Brazil;no;São Paulo;Married/cohabiting;1;Yes;Isolated;1;1;NA
128;11714;2671;22/04/2020 04:56;PT-BR;55;Female;PhD/Doctorate;Up to 9 years of school;Full time employed;Brazil;no;São Paulo;Divorced/widowed;0;No;Life carries on with minor changes;0;0;"A forma com que o líder do país, diga-se, o Presidente da República conduz uma pandemia  dessa dimensão como uma ""gripezinha"", minimizando o isolamento social e fechando o seu discurso de que ""todos vão morrer um dia"". Além de conseguir criar uma crise política em meio a toda essa situação de crise sanitária."
